"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0D660","2020-03-16 00:00:00","65.000","80.000","3.100","15.000","0.640","1012.900","","0.000","-99.000","-99.000","-99.000","20.400","","14.300",""
"C0E540","2020-03-16 00:00:00","32.000","135.000","0.400","12.200","0.870","1016.800","","0.000","-99.000","-99.000","-99.000","21.900","","12.200",""
"C0W170","2020-03-16 00:00:00","42.000","10.000","3.600","13.100","0.910","1016.800","","0.000","-99.000","-99.000","-99.000","17.800","","11.500",""
"C0Z150","2020-03-16 00:00:00","27.000","227.000","2.500","15.700","0.880","1019.700","","0.000","-99.000","-99.000","-99.000","18.800","","14.700",""
"C0S840","2020-03-16 00:00:00","22.000","293.000","1.200","17.600","0.750","1020.600","","0.500","-99.000","-99.000","-99.000","19.400","","16.400",""
"C0H9A0","2020-03-16 00:00:00","1595.000","241.000","0.600","6.600","0.980","848.700","","1.000","-99.000","-99.000","-99.000","12.000","","6.600",""
"C0Z300","2020-03-16 00:00:00","182.000","0.000","0.000","14.500","0.990","1002.600","","0.000","-99.000","-99.000","-99.000","16.300","","13.300",""
"C0UA60","2020-03-16 00:00:00","566.000","282.000","2.600","11.500","0.790","956.500","","0.000","-99.000","-99.000","-99.000","16.900","","9.400",""
"C0G730","2020-03-16 00:00:00","27.000","47.000","0.600","16.000","0.730","1017.500","","0.000","-99.000","-99.000","-99.000","21.800","","14.600",""
"C0V730","2020-03-16 00:00:00","33.000","5.000","0.300","19.400","0.890","1016.600","","0.000","-99.000","-99.000","-99.000","23.600","","17.200",""
"C0SA00","2020-03-16 00:00:00","466.000","295.000","1.100","13.200","1.000","968.000","","3.000","-99.000","-99.000","-99.000","14.800","","12.900",""
"C0S900","2020-03-16 00:00:00","27.000","60.000","1.700","19.800","0.640","1018.800","","5.000","-99.000","-99.000","-99.000","20.500","","17.900",""
"C0C480","2020-03-16 00:00:00","105.000","123.000","1.200","15.000","0.610","1008.700","","0.000","-99.000","-99.000","-99.000","22.800","","12.900",""
"C0V720","2020-03-16 00:00:00","15.000","57.000","1.100","20.000","0.730","1018.100","","0.000","-99.000","-99.000","-99.000","23.400","","18.300",""
"C0SA40","2020-03-16 00:00:00","200.000","337.000","0.500","14.800","0.890","999.500","","0.000","-99.000","-99.000","-99.000","16.400","","14.400",""
"C0V440","2020-03-16 00:00:00","27.000","0.000","0.000","17.700","0.740","1016.200","","0.000","-99.000","-99.000","-99.000","24.800","","16.500",""
"C0R490","2020-03-16 00:00:00","49.000","0.000","0.000","18.400","0.890","1013.600","","0.000","-99.000","-99.000","-99.000","24.000","","16.800",""
"C0X230","2020-03-16 00:00:00","29.000","0.000","0.000","16.800","0.760","1017.900","","0.000","-99.000","-99.000","-99.000","23.200","","15.200",""
"C0S770","2020-03-16 00:00:00","375.000","330.000","0.700","15.000","0.770","978.100","","1.500","-99.000","-99.000","-99.000","15.400","","13.800",""
"C0K480","2020-03-16 00:00:00","56.000","326.000","0.300","17.000","0.940","1013.100","","0.000","-99.000","-99.000","-99.000","23.500","","13.500",""
"C0R540","2020-03-16 00:00:00","17.000","88.000","1.800","20.000","0.590","1017.500","","0.500","-99.000","-99.000","-99.000","23.000","","17.200",""
"C0Z160","2020-03-16 00:00:00","124.000","207.000","0.900","14.700","0.860","1011.000","","0.000","-99.000","-99.000","-99.000","17.500","","14.200",""
"C0AH50","2020-03-16 00:00:00","275.000","88.000","3.200","14.100","0.630","988.900","","0.000","-99.000","-99.000","-99.000","18.900","","12.100",""
"C0F850","2020-03-16 00:00:00","379.000","89.000","0.300","13.500","0.920","976.000","","0.000","-99.000","-99.000","-99.000","22.000","","11.600",""
"C0G800","2020-03-16 00:00:00","15.000","0.000","0.000","16.300","0.710","1018.100","","0.000","-99.000","-99.000","-99.000","21.500","","14.900",""
"C0U890","2020-03-16 00:00:00","116.000","278.000","2.100","13.700","0.820","1010.100","","0.000","-99.000","-99.000","-99.000","18.600","","13.100",""
"C0F860","2020-03-16 00:00:00","2215.000","149.000","0.600","3.700","0.540","782.200","","0.000","-99.000","-99.000","-99.000","10.900","","3.400",""
"CM0170","2020-03-16 00:00:00","106.000","107.000","2.700","16.800","0.910","1008.700","","0.000","-99.000","-99.000","-99.000","22.000","","12.500",""
"C0B020","2020-03-16 00:00:00","86.000","102.000","2.500","16.000","0.640","1010.500","","0.000","-99.000","-99.000","-99.000","21.900","","15.100",""
"C0I390","2020-03-16 00:00:00","1184.000","100.000","1.100","9.600","0.890","890.000","","0.000","-99.000","-99.000","-99.000","16.800","","9.500",""
"C0T9D0","2020-03-16 00:00:00","7.000","251.000","0.400","15.000","0.880","1022.000","","0.000","-99.000","-99.000","-99.000","19.900","","14.600",""
